,name,address,phone,sido,gungu
0,1타타대우상용차신협,"전라북도 군산시 동장산로 172, (소룡동)",063-469-3116,전라북도,군산시
1,2타타대우상용차신협,"전라북도 군산시 동장산로 172, (소룡동)",063-469-3121,전라북도,군산시
2,419사거리점,"서울특별시 강북구 삼양로139길 8, (우이동)",02-902-9990,서울특별시,강북구
3,63빌딩점,"서울특별시 영등포구 63로 50,  하(여의도동) 1층",02-780-6538,서울특별시,영등포구
4,6공단1호점,인천광역시 남구 장고개로 48 믿음슈퍼,032-866-1112,인천광역시,남구
5,6공단2호점,인천광역시 남구 염전로 241,032-866-1112,인천광역시,남구
6,7번국도점,"경상북도 울진군 후포면 후포삼율로 260, (후포리)",054-787-6011,경상북도,울진군
7,88체육관점,"서울특별시 강서구 공항대로 376, 체육관 1체육관 內(화곡동) 88호",02-2697-5544,서울특별시,강서구
8,901개화역점,"서울특별시 강서구 개화동로8길 38, (개화동)",02-2656-0701,서울특별시,강서구
9,902김포공항점,"서울특별시 강서구 하늘길 77,  (방화동)",070-4256-0702,서울특별시,강서구
10,903공항시장역점,"서울특별시 강서구 방화동로 30,  (공항동) 지하층",02-2656-0703,서울특별시,강서구
11,904신방화역점,"서울특별시 강서구 방화대로 301,  (방화동) 지하층",02-2656-0704,서울특별시,강서구
12,905마곡나루역점,"서울특별시 강서구 마곡중앙5로 2,  (마곡동) 지하층",02-2656-0705,서울특별시,강서구
13,906양천향교역점,"서울특별시 강서구 양천로 341,  (가양동) 지하층",02-2656-0706,서울특별시,강서구
14,907가양역점,"서울특별시 강서구 양천로 485,  (가양동) 지하층",02-2656-0707,서울특별시,강서구
15,908증미역점,"서울특별시 강서구 양천로 560,  (등촌동) 지하층",02-2656-0708,서울특별시,강서구
16,909등촌역점,"서울특별시 강서구 공항대로 529,  (등촌동) 지하층",02-2656-0709,서울특별시,강서구
17,910염창역점,"서울특별시 강서구 공항대로 631,  (염창동) 지하층",02-2656-0710,서울특별시,강서구
18,911신목동역점,"서울특별시 양천구 목동중앙로 217,  (목동) 지하층",02-2656-0711,서울특별시,양천구
19,912선유도역점,"서울특별시 영등포구 양평로 124,  (양평동5가) 지하층",02-2656-0712,서울특별시,영등포구
20,913당산역점,"서울특별시 영등포구 양평로 40,  (당산동6가) 지하층",02-2656-0713,서울특별시,영등포구
21,914국회의사당역점,"서울특별시 영등포구 국회대로 758,  (여의도동) 지하층",02-2656-0714,서울특별시,영등포구
22,915여의도역점,"서울특별시 영등포구 의사당대로 101,  (여의도동) 지하층",02-2656-0715,서울특별시,영등포구
23,916샛강역점,"서울특별시 영등포구 의사당대로 166,  (여의도동) 지하층",02-2656-0716,서울특별시,영등포구
24,917노량진역점,"서울특별시 동작구 노량진로 130,  (노량진동) 지하층",02-2656-0717,서울특별시,동작구
25,918노들역점,"서울특별시 동작구 노량진로 238,  (본동) 지하층",02-2656-0718,서울특별시,동작구
26,919흑석역점,"서울특별시 동작구 현충로 90,  (흑석동) 지하층",02-2656-0719,서울특별시,동작구
27,920동작역점,"서울특별시 동작구 현충로 220,  (동작동) 지하층",02-2656-0720,서울특별시,동작구
28,921구반포역점,"서울특별시 서초구 신반포로 17,  (반포동) 지하층",02-2656-0721,서울특별시,서초구
29,922신반포역점,"서울특별시 서초구 신반포로 105,  (반포동) 지하층",02-2656-0722,서울특별시,서초구
30,923고속터미널역점,"서울특별시 서초구 신반포로 188,  (반포동) 지하층",02-2656-0723,서울특별시,서초구
31,924사평역점,"서울특별시 서초구 사평대로 285,  (반포동) 지하층",02-2656-0724,서울특별시,서초구
32,925신논현역점,"서울특별시 강남구 봉은사로 102,  (역삼동) 지하층",02-2656-0725,서울특별시,강남구
33,BGF곤지암포켓점,"
","
",,
34,BGF로지스용인점,"경기도 용인시 기흥구 이현로30번길 131-1, (보정동)",031-896-2153,경기도,용인시
35,BGF수지포켓점,경기도 용인시 수지구 손곡로 31 삼양식품물류센타 (동천동) 삼양식품물류센타,031--0000,경기도,용인시
36,BGF양주포켓점,"
","
",,
37,BGF푸드포켓점,"
","
",,
38,CK양평점,서울특별시 영등포구 영등포로3길 16,02-2676-5906,서울특별시,영등포구
39,E1대천에너지점, ,053-591-0550,,
40,EBS일산사옥점,"경기도 고양시 일산동구 한류월드로 281, (장항동)",02-526-2951,경기도,고양시
41,ES충주호리조트점,"충청북도 제천시 수산면 옥순봉로 1248, (능강리)",043-641-0118,충청북도,제천시
42,JJ가락점,"서울특별시 송파구 송이로27길 6,  (가락동)",02-448-5375,서울특별시,송파구
43,JJ올림픽점,"서울특별시 송파구 양재대로 1222, 방이동 (방이동)",02-401-2495,서울특별시,송파구
44,JW타워점,"
","
",,
45,KCC스위첸점,"
","
",,
46,KH덕소주유소점,"경기도 남양주시 와부읍 경강로 881, GS덕소주유소  (팔당리)",031-577-2916,경기도,남양주시
47,KH독립문주유소점,서울특별시 서대문구 통일로 384 독립문주유소,080-80-3663,서울특별시,서대문구
48,KORAIL연수원점,"강원도 양양군 강현면 동해대로 3457, (정암리)",033-820-7725,강원도,양양군
49,KTX강릉역점,강원도 강릉시 용지로 174 (교동),033-645-5555,강원도,강릉시
50,KTX광명점,"경기도 광명시 신기로17번길 3, 서원빌딩  (일직동)",02-899-2552,경기도,광명시
51,KT스마트메디타워점,"대구광역시 중구 동덕로 167,  (동인동2가) 1층",053-552-7988,대구광역시,중구
52,KT지식센터점,"서울특별시 영등포구 영신로 220, (영등포동8가) 1층 104호",070-4416-0927,서울특별시,영등포구
53,LG로점,"경기도 파주시 월롱면 엘지로 248, (덕은리)",031-948-5424,경기도,파주시
54,M강남역점,"서울특별시 강남구 테헤란로 101, 강남역구내상가 번호(역삼동)",02-556-5590,서울특별시,강남구
55,M건대입구역점,"서울특별시 광진구 아차산로 243, 구내상가 번호 04 선 건대입구역(화양동) 212동 2호",02-454-5558,서울특별시,광진구
56,M구의역점,"서울특별시 광진구 아차산로 384-1, 구내상가 번호 01 선 구의역(구의동)",02-457-5556,서울특별시,광진구
57,M대림역점,서울특별시 영등포구 대림로 지하 137 대림역,02-3414-3300,서울특별시,영등포구
