year,rank,title
2008년,1위,Nobody
2008년,2위,하루하루
2008년,3위,주문 - MIROTIC (Clean Ver.)
2008년,4위,마지막 인사
2008년,5위,어쩌다
2008년,6위,LOVE
2008년,7위,만약에
2008년,8위,One More Time
2008년,9위,보고싶은 날엔..
2008년,10위,내사람
2008년,11위,들리나요...
2008년,12위,So Hot
2008년,13위,발자국
2008년,14위,미쳤어
2008년,15위,천국
2008년,16위,미워도 사랑하니까
2008년,17위,Rainism
2008년,18위,붉은 노을
2008년,19위,어제보다 오늘 더
2008년,20위,Kissing You
2008년,21위,사랑이 그렇게 쉬워 (Feat. 태인)
2008년,22위,거짓말
2008년,23위,총 맞은 것처럼
2008년,24위,Love Story
2008년,25위,사랑과 전쟁 (Narr. 하하)
2008년,26위,슬픈 다짐
2008년,27위,그대만보여요 (Feat. T.O.P)
2008년,28위,U-Go-Girl (Feat. 낯선)
2008년,29위,슬픔활용법
2008년,30위,My Style (Hidden Track)
2008년,31위,You
2008년,32위,이노래
2008년,33위,가슴으로 외쳐 (Feat. Rhymer)
2008년,34위,라라라
2008년,35위,Hey Mr. Big
2008년,36위,너는 내 운명
2008년,37위,One (Feat. 지선)
2008년,38위,"서커스 (Feat. 임유경(달래음악단),  $howgun)"
2008년,39위,1분 1초 (Feat. 타루)
2008년,40위,남자 때문에
2008년,41위,미안해요 (Feat. T.O.P)
2008년,42위,그깟 사랑
2008년,43위,Hot Girl
2008년,44위,후회는 없어 (Feat. 베이지)
2008년,45위,슬픈 발걸음
2008년,46위,가지마 가지마
2008년,47위,비밀 (Narr. 티파니 of 소녀시대)
2008년,48위,How Gee (하우지)
2008년,49위,이 바보
2008년,50위,사랑해 (Feat. 윤은혜)
2008년,51위,못된 여자 (Feat. 서인영)
2008년,52위,사랑해 미안해
2008년,53위,기억을 걷는 시간
2008년,54위,너 때문에
2008년,55위,슬픈 바보
2008년,56위,아이처럼 (Feat. 알렉스)
2008년,57위,10점 만점에 10점
2008년,58위,신데렐라
2008년,59위,클래식
2008년,60위,다 줄꺼야
2008년,61위,눈물은 모르게
2008년,62위,살아서도 죽어서도
2008년,63위,Tell me
2008년,64위,Never Say Goodbye
2008년,65위,새까맣게
2008년,66위,운명을 거슬러
2008년,67위,모를까봐서
2008년,68위,착한사람
2008년,69위,우산 (Feat. 윤하)
2008년,70위,사랑후애
2008년,71위,바보
2008년,72위,Blue Moon
2008년,73위,"미안해, 고마워, 사랑해"
2008년,74위,그녀를 찾아주세요
2008년,75위,바보
2008년,76위,U R Man
2008년,77위,나비야
2008년,78위,여자는 사랑을 먹고
2008년,79위,Number 1
2008년,80위,Beautiful Life
2008년,81위,병원에 가다 (이별..)
2008년,82위,멋지게 이별
2008년,83위,나만 바라봐
2008년,84위,For You
2008년,85위,너 올 때까지
2008년,86위,남자(男子)
2008년,87위,첫눈
2008년,88위,이런 여자
2008년,89위,"전국민 러브송 (Feat. MC몽, 유리 Of Cool)"
2008년,90위,아.미.고 (Amigo: 아름다운 미녀를 좋아하면 고생한다)
2008년,91위,비와 당신 (영화 `라디오스타` 삽입곡)
2008년,92위,무슨 사랑이 그래요
2008년,93위,바보에게… 바보가
2008년,94위,다시 시작해보자
2008년,95위,추억속의 그대
2008년,96위,소녀시대 (Girls` Generation)
2008년,97위,바이올린
2008년,98위,별이 지다..
2008년,99위,ADIOS (Feat. 미스터 타이푼)
2008년,100위,부디..
2009년,1위,Gee
2009년,2위,"쏘리 쏘리 (SORRY, SORRY)"
2009년,3위,I Don`t Care
2009년,4위,Abracadabra
2009년,5위,심장이 없어
2009년,6위,Again & Again
2009년,7위,Love Like This (네게로)
2009년,8위,8282
2009년,9위,Fire
2009년,10위,Lollipop
2009년,11위,Heartbreaker
2009년,12위,외톨이
2009년,13위,사고쳤어요
2009년,14위,Ring Ding Dong
2009년,15위,사랑비
2009년,16위,그런 사람 또 없습니다
2009년,17위,소원을 말해봐 (Genie)
2009년,18위,내 머리가 나빠서
2009년,19위,My Man
2009년,20위,Hot Issue
2009년,21위,사랑..그 놈
2009년,22위,눈물이 뚝뚝
2009년,23위,토요일밤에
2009년,24위,Strong Baby (승리 solo)
2009년,25위,미스터
2009년,26위,Insomnia (불면증)
2009년,27위,잊지 말아요
2009년,28위,니가 밉다
2009년,29위,Wanna
2009년,30위,Muzik
2009년,31위,You And I
2009년,32위,Honey
2009년,33위,바래
2009년,34위,결혼해줄래 (Feat. BIZNIZ)
2009년,35위,사랑한 후에
2009년,36위,Diva
2009년,37위,반쪽
2009년,38위,내 귀에 캔디 (Feat. 택연 of 2PM)
2009년,39위,"헤어지지 못하는 여자, 떠나가지 못하는 남자 (Feat. 정인)"
2009년,40위,거짓말 (Part 1)
2009년,41위,이젠 남이야 (Feat. Baby-J of Jewelry)
2009년,42위,줄리엣 (Juliette)
2009년,43위,사랑해 (Feat. 박승화 of 유리상자)
2009년,44위,큰일이다
2009년,45위,AH
2009년,46위,잘가요 내사랑
2009년,47위,TTL (Time To Love)
2009년,48위,살만해
2009년,49위,오랜만이야
2009년,50위,In The Club
2009년,51위,Sign
2009년,52위,여성시대
2009년,53위,연애소설
2009년,54위,너라고 (It`s You)
2009년,55위,Candy Man
2009년,56위,친구의 고백
2009년,57위,애인 있어요
2009년,58위,터질 것 같아
2009년,59위,부른다
2009년,60위,Heartbeat
2009년,61위,내사랑 울보
2009년,62위,Kiss (Feat. CL of 2NE1)
2009년,63위,나 혼자서
2009년,64위,"Indian Boy (Feat. 장근이, B.I)"
2009년,65위,Pretty Boy
2009년,66위,Hot Stuff
2009년,67위,못된 여자 Ⅱ (With 서인영)
2009년,68위,그 놈 목소리
2009년,69위,냉면
2009년,70위,구속
2009년,71위,라차타 (LA chA TA)
2009년,72위,Stylish (The FILA)
2009년,73위,생각이나
2009년,74위,30분전 (Feat. 임정희)
2009년,75위,붉은 노을
2009년,76위,사랑..다 거짓말
2009년,77위,헤어지는 중입니다
2009년,78위,나쁜 여자야
2009년,79위,Pretty Girl
2009년,80위,U R Man
2009년,81위,Chocolate Love (Retro Pop Ver.)
2009년,82위,너 때문에
2009년,83위,총 맞은 것처럼
2009년,84위,우리 헤어지자
2009년,85위,파라다이스 (메인 테마)
2009년,86위,떠나지마...
2009년,87위,아몰레드(Amoled)
2009년,88위,Let`s Dance
2009년,89위,행복병 (Feat. Shorry J of 마이티 마우스)
2009년,90위,소년이여
2009년,91위,러브119 (Love119) (Feat. MC몽)
2009년,92위,Please Don`t Go
2009년,93위,전화 한 번 못하니 (Feat. 태혜영 of 미스에스)
2009년,94위,힘 내! (Way To Go)
2009년,95위,사랑 참 어렵다
2009년,96위,TTL Listen 2
2009년,97위,눈물아 안녕
2009년,98위,Let`s Go Party
2009년,99위,못난 내 사랑
2009년,100위,알고있나요
2010년,1위,Bad Girl Good Girl
2010년,2위,잔소리 (With 임슬옹 of 2AM)
2010년,3위,시간아 멈춰라
2010년,4위,2 Different Tears
2010년,5위,죽을 만큼 아파서 (Feat. 멜로우)
2010년,6위,밥만 잘 먹더라
2010년,7위,고백
2010년,8위,Go Away
2010년,9위,Magic
2010년,10위,Love
2010년,11위,Can`t Nobody
2010년,12위,못해 (Feat. 美)
2010년,13위,너 때문에 미쳐
2010년,14위,땡땡땡
2010년,15위,우리 사랑하게 됐어요
2010년,16위,HUH
2010년,17위,그 사람
2010년,18위,나 이런사람이야
2010년,19위,별이 될께
2010년,20위,Nothin` On You (Feat. Bruno Mars)
2010년,21위,이 거지같은말 (With 정엽 of 브라운 아이드 소울)
2010년,22위,그땐 그땐 그땐
2010년,23위,루팡 (Lupin)
2010년,24위,사랑 빛
2010년,25위,Y
2010년,26위,다시 와주라
2010년,27위,사랑이라 쓰고 아픔이라 부른다
2010년,28위,뱅(Bang) !
2010년,29위,죽어도 못 보내
2010년,30위,Without U
2010년,31위,널 붙잡을 노래
2010년,32위,Chitty Chitty Bang Bang (Feat. Ceejay o ..
2010년,33위,I Need A Girl (Feat. G-dragon)
2010년,34위,Push Push
2010년,35위,Breathe
2010년,36위,흩어져
2010년,37위,난 너에게
2010년,38위,본능적으로 (Feat. Swings)
2010년,39위,Hip Song
2010년,40위,아파 (Slow)
2010년,41위,너 때문이야 (Feat. Soulman)
2010년,42위,I My Me Mine
2010년,43위,고백하던 날
2010년,44위,queen
2010년,45위,처음처럼
2010년,46위,죽어도 사랑해
2010년,47위,남자라서
2010년,48위,시간이 지나면
2010년,49위,전활 받지 않는 너에게
2010년,50위,꺼져 줄게 잘 살아 (Feat. 용준형 of 비스트)
2010년,51위,Change (Feat. 용준형 of Beast)
2010년,52위,외톨이야
2010년,53위,Love The Way You Lie (Fea ..
2010년,54위,사랑해 U
2010년,55위,미친거니
2010년,56위,Madonna
2010년,57위,박수쳐
2010년,58위,Bye Bye Bye
2010년,59위,사랑이 술을 가르쳐 (Feat. 백찬 of 에이트)
2010년,60위,Better Together
2010년,61위,술 한잔 해요
2010년,62위,너 때문에
2010년,63위,Because Of You
2010년,64위,정신이 나갔었나봐
2010년,65위,이별이 온다
2010년,66위,A
2010년,67위,Bo Peep Bo Peep
2010년,68위,오늘 헤어졌어요
2010년,69위,사랑사랑사랑
2010년,70위,결혼까지 생각했어
2010년,71위,Shock
2010년,72위,그대네요 (With 아이유)
2010년,73위,가식걸
2010년,74위,가슴이 뭉클
2010년,75위,원더우먼
2010년,76위,Love Ballad
2010년,77위,RIGHT NOW
2010년,78위,사랑은 없다
2010년,79위,삐리빠빠
2010년,80위,언제나
2010년,81위,그여자
2010년,82위,웃음만..
2010년,83위,마법소녀 (魔法少女)
2010년,84위,잘못했어
2010년,85위,그대라서
2010년,86위,왜
2010년,87위,숨
2010년,88위,자기야 여보야 사랑아
2010년,89위,Bubble Love
2010년,90위,헤어지러 가는 길 (Feat. 조권 of 2AM)
2010년,91위,처음처럼 그때처럼 (Feat. 강민경 of 다비치)
2010년,92위,비켜줄께
2010년,93위,여자라서
2010년,94위,혼자왔어요 (December Ver.)
2010년,95위,미친 듯이
2010년,96위,진짜일 리 없어
2010년,97위,널 사랑한다
2010년,98위,가지마
2010년,99위,부치지 못한 편지
2010년,100위,돌이킬 수 없는
2011년,1위,안녕이라고 말하지마
2011년,2위,Roly-Poly
2011년,3위,So Cool
2011년,4위,hello
2011년,5위,동경소녀
2011년,6위,STEP
2011년,7위,TV를 껐네... (Feat. 윤 ..
2011년,8위,Good-bye Baby
2011년,9위,Ugly
2011년,10위,Sixth Sense
2011년,11위,사랑 사랑아
2011년,12위,제발
2011년,13위,좋은 날
2011년,14위,그리워 그리워
2011년,15위,The Boys
2011년,16위,비가 오는 날엔
2011년,17위,Black & White
2011년,18위,Fiction
2011년,19위,TONIGHT
2011년,20위,샤이보이
2011년,21위,내가 제일 잘 나가
2011년,22위,"연애시대 (Feat. 라디, Narr. 한효주)"
2011년,23위,피노키오 (Danger)
2011년,24위,Be My Baby
2011년,25위,"가슴으로 운다 (Feat. 아이린, 윤미)"
2011년,26위,내꺼하자
2011년,27위,Lonely
2011년,28위,서쪽 하늘
2011년,29위,Top Girl
2011년,30위,Someday
2011년,31위,Ma Boy
2011년,32위,나란 놈은 답은 너다 (Feat. 하림)
2011년,33위,Hate You
2011년,34위,직감
2011년,35위,DON`T CRY
2011년,36위,별빛달빛
2011년,37위,바람났어 (Feat. 박봄)
2011년,38위,사랑은 Move
2011년,39위,Heart To Heart
2011년,40위,나만 몰랐던 이야기
2011년,41위,Mr. Simple
2011년,42위,가슴이 뛴다
2011년,43위,잘 된 일이야
2011년,44위,내꺼중에 최고
2011년,45위,톡 톡 (Tok Tok) (Feat. SOYA)
2011년,46위,Cry Cry
2011년,47위,반짝반짝
2011년,48위,거울아 거울아
2011년,49위,나를 잊지 말아요
